Ville JSON                               | Fichier dossier                         
Tegucigalpa                              | Kingston.jpg                            
Dubrovnik                                | Kingstown.jpg                           
Port-au-Prince                           | Kinshasa.jpg                            
Budapest                                 | Kololi.jpg                              
Bali                                     | Kolonia.jpg                             
Dublin                                   | Kotor.jpg                               
Jérusalem                                | Koweît City.jpg                         
Douglas                                  | Kuala Lumpur.jpg                        
Delhi                                    | Kyiv.jpg                                
Diego Garcia                             | La Havane.jpg                           
Bagdad                                   | La Paz.jpg                              
Ispahan                                  | La Valette.jpg                          
Reykjavik                                | Lagos.jpg                               
Rome                                     | Le Caire.jpg                            
Saint-Hélier                             | Le Cap.jpg                              
Montego Bay                              | Libreville.jpg                          
Pétra                                    | Lilongwe.jpg                            
Tokyo                                    | Lima.jpg                                
Nairobi                                  | Lisbonne.jpg                            
Bichkek                                  | Ljubljana.jpg                           
Siem Reap                                | Lomé.jpg                                
Tarawa-Sud                               | Londres.jpg                             
Moroni                                   | Longyearbyen.jpg                        
Basseterre                               | Luanda.jpg                              
Pyongyang                                | Luang Prabang.jpg                       
Séoul                                    | Lusaka.jpg                              
Koweît City                              | Luxembourg-Ville.jpg                    
George Town                              | Macao.jpg                               
Almaty                                   | Madrid.jpg                              
Luang Prabang                            | Majuro.jpg                              
Beyrouth                                 | Malabo.jpg                              
Gros Islet                               | Malé.jpg                                
Vaduz                                    | Mamoudzou.jpg                           
Colombo                                  | Managua.jpg                             
Monrovia                                 | Manama.jpg                              
Maseru                                   | Manille.jpg                             
Vilnius                                  | Maputo.jpg                              
Luxembourg-Ville                         | Mariehamn.jpg                           
Riga                                     | Marrakech.jpg                           
Tripoli                                  | Mascate.jpg                             
Marrakech                                | Maseru.jpg                              
Monte-Carlo                              | Mata-Utu.jpg                            
Chișinău                                 | Maun.jpg                                
Kotor                                    | Mbabane.jpg                             
Philipsburg                              | Mexico.jpg                              
Nosy Be                                  | Minsk.jpg                               
Majuro                                   | Mogadiscio.jpg                          
Ohrid                                    | Monrovia.jpg                            
Bamako                                   | Monte-Carlo.jpg                         
Bagan                                    | Montego Bay.jpg                         
Oulan-Bator                              | Montevideo.jpg                          
Macao                                    | Moroni.jpg                              
Saipan                                   | Moscou.jpg                              
Fort-de-France                           | N'Djaména.jpg                           
Nouakchott                               | Nairobi.jpg                             
Plymouth                                 | Nassau.jpg                              
La Valette                               | New York.jpg                            
Port-Louis                               | Ngerulmud.jpg                           
Malé                                     | Niamey.jpg                              
Lilongwe                                 | Nosy Be.jpg                             
Mexico                                   | Nouakchott.jpg                          
Kuala Lumpur                             | Nouméa.jpg                              
Maputo                                   | Nuku'alofa.jpg                          
Windhoek                                 | Ohrid.jpg                               
Nouméa                                   | Oranjestad.jpg                          
Niamey                                   | Oslo.jpg                                
Kingston                                 | Ouagadougou.jpg                         
Lagos                                    | Oulan-Bator.jpg                         
Managua                                  | Pago Pago.jpg                           
Amsterdam                                | Panama.jpg                              
Oslo                                     | Papeete.jpg                             
Katmandou                                | Paphos.jpg                              
Yaren                                    | Paramaribo.jpg                          
Alofi                                    | Paris.jpg                               
Auckland                                 | Philipsburg.jpg                         
Mascate                                  | Plymouth.jpg                            
Panama                                   | Pointe-à-Pitre.jpg                      
Lima                                     | Port Lockroy.jpg                        
Papeete                                  | Port Moresby.jpg                        
Port Moresby                             | Port of Spain.jpg                       
Manille                                  | Port Stanley.jpg                        
Karachi                                  | Port-au-Prince.jpg                      
Varsovie                                 | Port-aux-Français.jpg                   
Saint-Pierre                             | Port-Louis.jpg                          
Adamstown                                | Port-Vila.jpg                           
San Juan                                 | Prague.jpg                              
Jérusalem                                | Pristina.jpg                            
Lisbonne                                 | Punta Cana.jpg                          
Ngerulmud                                | Pyongyang.jpg                           
Asuncion                                 | Pékin.jpg                               
Doha                                     | Pétra.jpg                               
Saint-Denis                              | Quito.jpg                               
Bucarest                                 | Reykjavik.jpg                           
Belgrade                                 | Riga.jpg                                
Moscou                                   | Rio de Janeiro.jpg                      
Kigali                                   | Riyad.jpg                               
Riyad                                    | Road Town.jpg                           
Honiara                                  | Rome.jpg                                
Victoria                                 | Roseau.jpg                              
Khartoum                                 | Saint John's.jpg                        
Stockholm                                | Saint-Denis.jpg                         
Singapour                                | Saint-Georges.jpg                       
Jamestown                                | Saint-Hélier.jpg                        
Ljubljana                                | Saint-Marin.jpg                         
Longyearbyen                             | Saint-Peter-Port.jpg                    
Bratislava                               | Saint-Pierre.jpg                        
Freetown                                 | Saipan.jpg                              
Saint-Marin                              | San José.jpg                            
Dakar                                    | San Juan.jpg                            
Mogadiscio                               | San Pedro.jpg                           
Paramaribo                               | San Salvador.jpg                        
Juba                                     | Sanaa.jpg                               
São Tomé                                 | Santa Maria.jpg                         
San Salvador                             | Santiago.jpg                            
Philipsburg                              | Sarajevo.jpg                            
Damas                                    | Saranda.jpg                             
Mbabane                                  | Siem Reap.jpg                           
Cockburn Town                            | Singapour.jpg                           
N'Djaména                                | Sofia.jpg                               
Port-aux-Français                        | Stockholm.jpg                           
Lomé                                     | Suva.jpg                                
Bangkok                                  | Sydney.jpg                              
Douchanbé                                | São Tomé.jpg                            
Fakaofo                                  | Séoul.jpg                               
Dili                                     | Tachkent.jpg                            
Achgabat                                 | Taipei.jpg                              
Tunis                                    | Tallinn.jpg                             
Nuku'alofa                               | Tarawa-Sud.jpg                          
Istanbul                                 | Tbilissi.jpg                            
Port of Spain                            | Tegucigalpa.jpg                         
Funafuti                                 | The Valley.jpg                          
Taipei                                   | Timphou.jpg                             
Dar es Salaam                            | Tokyo.jpg                               
Kyiv                                     | Toronto.jpg                             
Kampala                                  | Tripoli.jpg                             
Johnston Atoll                           | Tumon.jpg                               
New York                                 | Tunis.jpg                               
Montevideo                               | Tórshavn.jpg                            
Tachkent                                 | Vaduz.jpg                               
Vatican                                  | Varsovie.jpg                            
Kingstown                                | Vatican.jpg                             
Caracas                                  | Victoria.jpg                            
Road Town                                | Vienne.jpg                              
Charlotte Amalie                         | Vilnius.jpg                             
Hanoï                                    | West Island.jpg                         
Port-Vila                                | Willemstad.jpg                          
Mata-Utu                                 | Windhoek.jpg                            
Apia                                     | Yaren.jpg                               
Pristina                                 | Zurich.jpg                              
Sanaa                                    | Île Bouvet.jpg                          
Mamoudzou                                | Îles Heard-et-MacDonald.jpg             
Le Cap                                   |                                         
Lusaka                                   |                                         
Harare                                   |                                         
